Source,Page number,Order,Week,Type,Lexicality,Orthography,Phonology,Flag for discussion,Notes,Mismatch with CMU Transcription,Coder(s),,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,dig,dɪg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,got,gɑt,,top 100 high frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,on,ɑn,,top 100 high frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,not,nɑt,,top 100 high frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,pot,pɑt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,top,tɑp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,dog,dɑg,,,1 - dɔg,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,pop,pɑp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,God,gɑd,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,Mog,mɑg,,"Dialectal; don't know why the ""M"" in ""Mog"" was capitalized in the curriculum, either means to move away / to walk slowly and steadily",0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,can,kæn,,top 100 high frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,cot,kɑt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,cop,kɑp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,cat,kæt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,cod,kɑd,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,kid,kɪd,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,kit,kɪt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,Kim,kɪm,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-3 GPC",48,5,3,Rule example word,Word,Ken,kɛn,"but they haven't learned the ""e"" GPC yet in set 3?",,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words","66, 71",6,3,Rule example phrase,Word phrase,pat a dog,pæt ə dɑg,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,dad and nan,dæd ænd næn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,nan,næn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a cat in a hat,ʌ kæt ɪn ʌ hæt,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,hat,hæt,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a sad man,ə sæd mæn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a pin on a map,ə pɪn ɑn ə mæp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,pin,pɪn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,pots and pans,pɑts ænd pæns,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,pots ,pɑts ,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,pans,pænz,""", exception that isn't taught as such",""", 's' pronouned as /z/",0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a kid in a cap,ə kɪd ɪn ə kæp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,cap,kæp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a tin can,ə tɪn kæn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,tin,tɪn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,can,kæn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,cats and dogs,kæts ænd dɑgz,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,cats ,kæts,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example word,Word,dogs,dɑgz,"Is an exception, but not taught as such","Noted in the footnotes that ""*The sounds represented by f in of, and by s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters v and z until several weeks later. "" However ""dogs"" was not mentioned to be an exception",0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words",71,6,3,Rule example phrase,Word phrase,a nap in a cot,ə næp ɪn ə kɑt,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 4",48,7,4,Rule,GPC,ck,k,,"""Teach that ‘ck’ together stands for the same
sound as ‘c’ and ‘k’ separately – ck never
comes at the beginning of a word, but often
comes at the end or near the end""",0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,kick,kɪk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,sock,sɑk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,sack,sæk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,dock,dɑk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,pick,pɪk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,sick,sɪk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,pack,pæk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,ticket,tɪkʌt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,7,4,Rule example word,Word,pocket,pɑkət,,,1 - pɑkʌt,YL,,,,,,
"Phase 2, Letter progression, Set 4",48,8,4,Rule,GPC,e,ɛ,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 4",48,8,4,Rule,GPC,u,ʌ,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 4",48,8,4,Rule,GPC,r,ɹ,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,get,gɛt,,top 100 frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,pet,pɛt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,ten,tɛn,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,net,nɛt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,pen,pɛn,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,peg,pɛg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,met,mɛt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,men,mɛn,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,neck,nɛk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,up,ʌp,,top 100 frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,mum,mʌm,,top 100 frequency word; pronounced differently in Canadian English,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,run,ɹʌn,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,mug,mʌg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,cup,kʌp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,sun,sʌn,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,tuck,tʌk,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,mud,mʌd,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,sunset,sʌnsɛt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rim,ɹɪm,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rip,ɹɪp,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,ram,ɹæm,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rat,ɹæt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rag,ɹæg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rug,ɹʌg,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rot,ɹɑt,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,rocket,ɹɑkɪt,,,1 - ɹɑkʌt,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-4 GPC",48,9,4,Rule example word,Word,carrot,kæɹət,,,1 - kæɹʌt,YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 4",50,10,4,Tricky word,Word,to,tu,,,0,YL,,,,,,
"Phase 2, Suggested timetable for Phase 2 - discrete teaching, Week 4",50,10,4,Tricky word,Word,the,ðə,,,1 - ðʌ,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,a red rug,ə ɹɛd ɹʌg,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,red,ɹɛd,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,get to the top,gɛt tu ðə tɑp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,socks on a mat,sɑks ɑn ə mæt,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,socks,sɑks,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,a cap on a peg,ə kæp ɑn ə pɛg,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,a run in the sun,ə ɹʌn ɪn ðə sʌn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,rats on a sack,ɹæts ɑn ə sæk,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,rats,ɹæts,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,a pup in the mud,ə pʌp ɪn ðə mʌd,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,pup,pʌp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,run to the den,ɹʌn tu ðə dɛn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word phrase,den,dɛn,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,mugs and cups,mʌgs ænd kʌps,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,mugs,mʌgz,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,cups,kʌps,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example phrase,Word phrase,an egg in an egg cup,æn ɛg ɪn æn ɛg kʌp,,,0,YL,,,,,,
"Phase 2, Teaching reading and writing captions, Bank of suggested captions for practising
reading, Captions with sets 1-4 words + to, the",71,11,4,Rule example word,Word,egg,ɛg,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,h,h,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,b,b,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,f,f,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,ff,f,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,l,l,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,ll,l,,,0,YL,,,,,,
"Phase 2, Letter progression, Set 5",48,12,5,Rule,GPC,ss,s,,,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-5 GPC",70,13,5,Rule example word,Word,had,hæd,,top 100 frequency word,0,YL,,,,,,
"Phase 2, Bank of suggested words for practicing reading, Words using sets 1-5 GPC",70,13,5,Rule example word,Word,him,hɪm,,top 100 frequency word,0,YL,,,,,,
