Source ,Page number,Order,Week,Day,Type,Lexicality,Orthography,Phonology,Flag for Discussion,Notes,Mismatch with CMU Transcription,Coder(s)
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46+47,8,1,5,Rule example word,Word,tip,tɪp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46+47,8,1,5,Rule example word,Word,tap,tæp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46,8,1,5,Rule example word,Word,pip,pɪp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46,8,1,5,Rule example word,Word,sap,sæp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,42/46,8,1,5,Rule example word,Word,sip,sɪp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48,9,2,1,Rule,GPC,n,n,,,0,EA/IC
The Phonics Handbook (in print letters): Section 2 Sound Sheets,49,10,2,1,Rule example word,Word,nap,næp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/49,10,2,1,Rule example word,Word,tin,tɪn,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/49,10,2,1,Rule example word,Word,pan,pæn,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48+49,10,2,1,Rule example word,Word,ant,ænt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48,10,2,1,Rule example word,Word,nip,nɪp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48,10,2,1,Rule example word,Word,pin,pɪn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48,10,2,1,Rule example word,Word,snap,snæp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,43/48,10,2,1,Rule example word,Word,spin,spɪn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,43,10,2,1,Rule example word,Word,tin,tɪn,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,48,10,2,1,Rule example word,Word,tan,tæn,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,48,10,2,1,Rule example word,Word,pant,pænt,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,48,10,2,1,Rule example word,Word,snip,snɪp,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,48,10,2,1,Rule example word,Word,span,spæn,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,48,10,2,1,Rule example word,Word,tint,tɪnt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,11,2,2,Rule,GPC,c,k,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,11,2,2,Rule,GPC,k,k,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,11,2,2,Rule,GPC,ck,k,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/51,12,2,2,Rule example word,Word,cap,kæp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/51,12,2,2,Rule example word,Word,kit,kɪt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50+51,12,2,2,Rule example word,Word,pick,pɪk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/51,12,2,2,Rule example word,Word,sack,sæk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,12,2,2,Rule example word,Word,can,kæn,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,12,2,2,Rule example word,Word,cat,kæt,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,kin,kɪn,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,kip,kɪp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,pack,pæk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,sick,sɪk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,tack,tæk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,tick,tɪk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,12,2,2,Rule example word,Word,skip,skɪp,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,12,2,2,Rule example word,Word,snack,snæk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1,44,12,2,2,Rule example word,Word,stack,stæk,,,0,EA/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,44/50,12,2,2,Rule example word,Word,stick,stɪk,,,0,EA/IC
The Phonics Handbook (in print letters): Section 2 Sound Sheets,50,12,2,2,Rule example word,Word,act,ækt,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,50,12,2,2,Rule example word,Word,scan,skæn,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,50,12,2,2,Rule example word,Word,skin,skɪn,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,50,12,2,2,Rule example word,Word,picnic,pɪknɪk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,13,2,3,Rule,GPC,e,ɛ,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/53,14,2,3,Rule example word,Word,set,sɛt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/53,14,2,3,Rule example word,Word,pet,pɛt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/53,14,2,3,Rule example word,Word,tent,tɛnt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/53,14,2,3,Rule example word,Word,neck,nɛk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,net,nɛt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,pen,pɛn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,ten ,tɛn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,45,14,2,3,Rule example word,Word,peck,pɛk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,45,14,2,3,Rule example word,Word,kept,kɛpt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,nest,nɛst,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,pest,pɛst,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,sent,sɛnt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,45/52,14,2,3,Rule example word,Word,step,stɛp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,45,14,2,3,Rule example word,Word,test,tɛst,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,45,14,2,3,Rule example word,Word,spent,spɛnt,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,52,14,2,3,Alternative-implicit,GPC,nn,n,,,0,
The Phonics Handbook (in print letters): Section 2 Sound Sheets,52,14,2,3,Rule example word,Word,tennis,tɛnɪs,,,1 - tɛnʌs,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,52,14,2,3,Rule example word,Word,insects,ɪnsɛkts,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54,15,2,4,Rule,GPC,h,h,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54+55,16,2,4,Rule example word,Word,hip,hɪp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54+55,16,2,4,Rule example word,Word,hat,hæt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54+55,16,2,4,Rule example word,Word,hen,hɛn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54+55,16,2,4,Alternative-implicit,GPC,ss,s,,,0,
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54+55,16,2,4,Rule example word,Word,hiss,hɪs,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54,16,2,4,Rule example word,Word,hit,hɪt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54,16,2,4,Rule example word,Word,hint,hɪnt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,46/54,16,2,4,Rule example word,Word,hectic,hɛktɪk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56,17,2,5,Rule,GPC,r,ɹ,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/57,18,2,5,Rule example word,Word,rat,ɹæt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/57,18,2,5,Rule example word,Word,rip,ɹɪp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/57,18,2,5,Rule example word,Word,ran,ɹæn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56+57,18,2,5,Rule example word,Word,rest,ɹɛst,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56,18,2,5,Rule example word,Word,trap,tʃɹæp,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - tɹæp,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56,18,2,5,Rule example word,Word,rap,ɹæp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,rack,ɹæk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,risk,ɹɪsk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,trek,tʃɹɛk,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - tɹɛk,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56,18,2,5,Rule example word,Word,trip,tʃɹɪp,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - tɹɪp,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,crack,kɹæk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,track,tʃɹæk,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - tɹæk,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,crept,kɹɛpt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,crisp,kɹɪsp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,47,18,2,5,Rule example word,Word,scrap,skɹæp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,47/56,18,2,5,Rule example word,Word,strap,stɹæp,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,56,18,2,5,Rule example word,Word,trick,tʃɹɪk,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - tɹɪk,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,56,18,2,5,Rule example word,Word,strict,stɹɪkt,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,56,18,2,5,Rule example word,Word,cricket,kɹɪkət,,,1 - kɹɪkʌt,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,19,3,1,Rule,GPC,m,m,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58+59,20,3,1,Rule example word,Word,men,mɛn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58+59,20,3,1,Rule example word,Word,him,hɪm,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/59,20,3,1,Rule example word,Word,miss,mɪs,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58+59,20,3,1,Rule example word,Word,man,mæn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,imp,ɪmp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,map,mæp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,mat,mæt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,met,mɛt,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,ram,ɹæm,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,rim,ɹɪm,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,mess,mɛs,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,camp,kæmp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,ramp,ɹæmp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,stem,stɛm,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,48,20,3,1,Rule example word,Word,smack,smæk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,48/58,20,3,1,Rule example word,Word,stamp,stæmp,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,58,20,3,1,Rule example word,Word,mimic,mɪmɪk,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,21,3,2,Rule,GPC,d,d,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/61,22,3,2,Rule example word,Word,dip,dɪp,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/61,22,3,2,Rule example word,Word,hid,hɪd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/61,22,3,2,Rule example word,Word,pad,pæd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/61,22,3,2,Rule example word,Word,dad,dæd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,49,22,3,2,Alternative-implicit,GPC,dd,d,,,0,
Jolly Phonics Teacher's Book: Student Book 1,49,22,3,2,Rule example word,Word,add,æd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,49,22,3,2,Rule example word,Word,and,ænd,,,1 - ʌnd,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,22,3,2,Rule example word,Word,den,dɛn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,22,3,2,Rule example word,Word,did,dɪd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,22,3,2,Rule example word,Word,din,dɪn,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,22,3,2,Rule example word,Word,end,ɛnd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,49/60,22,3,2,Rule example word,Word,had,hæd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,49,22,3,2,Rule example word,Word,hid,hɪd,,,0,EA/HR
Jolly Phonics Teacher's Book: Student Book 1,49,22,3,2,Rule example word,Word,mad,mæd,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,60,22,3,2,Rule example word,Word,red,ɹɛd,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,60,22,3,2,Rule example word,Word,sad,sæd,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,60,22,3,2,Rule example word,Word,sand,sænd,,,0,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,60,22,3,2,Rule example word,Word,drip,dʒɹɪp,Exception that isn't mentioned as such,We've coded /tr/ and /dr/ word-initial clusters as affricates as this is how they are generally pronounced in NA English and there is some evidence that this may be relevant for children learning to spell ,1 - dɹɪp,EA/HR
The Phonics Handbook (in print letters): Section 2 Sound Sheets,60,22,3,2,Rule example word,Word,dentist,dɛntɪst,,,1 - dɛntʌst,EA/HR
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,2,Rule,GPC,g,g,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/63,23,3,2,Rule example word,Word,get,gɛt,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/63,23,3,2,Rule example word,Word,rag,ɹæg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/63,23,3,2,Rule example word,Word,peg,pɛg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/63,23,3,2,Rule example word,Word,gap,gæp,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,50,23,3,3,Alternative-implicit,GPC,gg,g,,,0,
Jolly Phonics Teacher's Book: Student Book 1,50,23,3,3,Rule example word,Word,egg,ɛg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,dig,dɪg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,gas,gæs,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,50/62,23,3,3,Rule example word,Word,sag,sæg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,tag,tæg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,50/62,23,3,3,Rule example word,Word,gram,gɹæm,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,grid,gɹɪd,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,grim,gɹɪm,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,grin,gɹɪn,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,grip,gɹɪp,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,snag,snæg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,stag,stæg,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,50/62,23,3,3,Rule example word,Word,grand,gɹænd,,,0,EA/HR/IC
The Phonics Handbook (in print letters): Section 2 Sound Sheets,62,23,3,3,Rule example word,Word,magnet,mægnɛt,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,51/64,24,3,4,Rule,GPC,o,ɑ,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,odd,ɑd,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,cod,kɑd,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,cog,kɑg,,,1 - kɔg,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,cot,kɑt,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,dog,dɑg,,,1 - dɔg,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1,51,25,3,4,Rule example word,Word,got,gɑt,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,51/64,25,3,4,Rule example word,Word,hop,hɑp,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,51/64,25,3,4,Rule example word,Word,hot,hɑt,,,0,EA/HR/IC
Jolly Phonics Teacher's Book: Student Book 1/The Phonics Handbook (in print letters): Section 2 Sound Sheets,51/64,25,3,4,Rule example word,Word,mop,mɑp,,,0,EA/HR/IC
